"origin_date","target","horizon","location","output_type","output_type_id","value"
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.01,135
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.025,137
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.05,139
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.1,140
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.15,141
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.2,141
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.25,142
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.3,143
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.35,144
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.4,145
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.45,147
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.5,148
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.55,149
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.6,150
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.65,152
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.7,155
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.75,161
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.8,165
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.85,170
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.9,175
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.95,176
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.975,176
2024-03-11,"wk inc flu hosp",1,"US","quantile",0.99,205
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.01,123
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.025,130
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.05,135
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.1,141
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.15,146
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.2,149
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.25,152
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.3,154
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.35,157
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.4,159
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.45,161
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.5,163
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.55,165
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.6,168
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.65,170
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.7,172
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.75,175
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.8,178
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.85,181
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.9,185
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.95,191
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.975,197
2024-03-11,"wk inc flu hosp",1,"02","quantile",0.99,203
2024-03-11,"wk inc flu hosp",1,"02","mean",,173
